name,team_power,logo_url
McLaren,58.65054602184088,
BMW Sauber,60.5,
Williams,50.2118138424821,
Renault,49.89199491740788,
Toro Rosso,37.91977611940298,
Ferrari,64.54489544895449,
Toyota,47.85714285714285,
Super Aguri,24.871794871794872,
Red Bull,68.7753807106599,
Force India,46.96933962264151,
Honda,47.73026315789474,
Spyker,18.529411764705884,
MF1,27.142857142857142,
Spyker MF1,20.0,
Sauber,40.31660692951016,
BAR,47.98728813559322,
Jordan,40.92,
Minardi,28.83184523809524,
Jaguar,40.3235294117647,
Prost,38.78787878787879,
Arrows,36.432203389830505,
Benetton,55.31730769230769,
Brawn,80.88235294117646,
Stewart,35.86734693877551,
Tyrrell,42.13961407491487,
Lola,28.0,
Ligier,40.25368248772504,
Forti,21.75925925925926,
Footwork,30.128865979381445,
Pacific,10.227272727272728,
Simtek,22.625,
Team Lotus,43.09414466130884,
Larrousse,28.49537037037037,
Brabham,39.229607250755286,
Dallara,29.756944444444443,
Fondmetal,11.30952380952381,
March,30.133587786259543,
Andrea Moda,0.6666666666666666,
AGS,11.829268292682928,
Lambo,5.625,
Leyton House,24.375,
Coloni,4.012345679012346,
Euro Brun,5.9868421052631575,
Osella,13.214285714285714,
Onyx,16.346153846153847,
Life,0.0,
Rial,13.958333333333334,
Zakspeed,15.789473684210526,
RAM,16.47887323943662,
Alfa Romeo,39.2350332594235,
Spirit,27.8,
Toleman,19.083969465648856,
ATS,23.02469135802469,
Theodore,20.9375,
Fittipaldi,29.193548387096776,
Ensign,23.40909090909091,
Shadow,31.94312796208531,
Wolf,37.151898734177216,
Merzario,3.4375,
Kauhsen,0.0,
Rebaque,8.333333333333334,
Surtees,29.32692307692308,
Hesketh,28.65979381443299,
Martini,30.625,
BRM,44.38612099644128,
Penske,41.08695652173913,
LEC,15.0,
McGuire,0.0,
Boro,18.125,
Apollon,0.0,
Kojima,33.333333333333336,
Parnelli,38.125,
Maki,0.0,
Embassy Hill,35.78947368421053,
Lyncar,10.0,
Trojan,19.375,
Amon,0.0,
Token,20.0,
Iso Marlboro,28.0,
Tecno,12.727272727272728,
Matra,53.098591549295776,
Politoys,0.0,
Connew,0.0,
Bellasi,0.0,
De Tomaso,17.5,
Cooper,44.66019417475728,
LDS,31.25,
Protos,17.5,
Shannon,5.0,
Scirocco,10.882352941176473,
RE,0.0,
BRP,44.73684210526316,
Porsche,45.47619047619048,
Derrington,25.0,
Gilby,7.857142857142857,
Stebro,35.0,
Emeryson,9.545454545454543,
ENB,25.0,
JBW,16.666666666666668,
Ferguson,10.0,
MBM,0.0,
Behra-Porsche,50.0,
Maserati,47.48853211009175,
Scarab,13.88888888888889,
Watson,36.13636363636363,
Epperly,57.64705882352941,
Phillips,57.85714285714285,
Lesovsky,32.333333333333336,
Trevis,35.833333333333336,
Meskowski,45.0,
Kurtis Kraft,32.30088495575221,
Kuzma,35.76923076923077,
Christensen,7.5,
Ewing,6.666666666666667,
Aston Martin,48.87434554973822,
Vanwall,48.45070422535211,
Moore,65.0,
Dunn,13.333333333333334,
Elder,0.0,
Sutton,0.0,
Fry,0.0,
Tec-Mec,40.0,
Connaught,28.24074074074074,
Alta,37.5,
OSCA,19.375,
Gordini,40.34313725490196,
Stevens,28.5,
Bugatti,20.0,
Mercedes,75.87423312883436,
Lancia,45.0,
HWM,29.04255319148936,
Schroeder,15.0,
Pawl,6.25,
Pankratz,10.0,
Arzani-Volpini,0.0,
Nichels,15.0,
Bromme,0.0,
Klenk,35.0,
Simca,34.310344827586206,
Turner,0.0,
Del Roy,0.0,
Veritas,21.944444444444443,
BMW,25.0,
EMW,5.0,
AFM,20.714285714285715,
Frazer Nash,37.5,
Sherman,57.5,
Deidt,43.125,
ERA,36.53846153846154,
Aston Butterworth,6.25,
Cisitalia,0.0,
Talbot-Lago,50.0609756097561,
Hall,10.0,
Marchese,27.5,
Langley,25.0,
Rae,0.0,
Olson,0.0,
Wetteroth,0.0,
Adams,0.0,
Snowberger,0.0,
Milano,0.0,
HRT,8.448275862068966,
Virgin,12.105263157894736,
Cooper-Maserati,47.42537313432836,
Cooper-OSCA,50.0,
Cooper-Borgward,40.0,
Cooper-Climax,50.91417910447761,
Cooper-Castellotti,38.333333333333336,
Lotus-Climax,42.93991416309013,
Lotus-Maserati,15.0,
De Tomaso-Osca,0.0,
De Tomaso-Alfa Romeo,3.333333333333333,
Lotus-BRM,37.27272727272727,
Lotus-Borgward,0.0,
Cooper-Alfa Romeo,30.0,
De Tomaso-Ferrari,0.0,
Lotus-Ford,56.2109375,
Brabham-BRM,44.14634146341464,
Brabham-Ford,48.10344827586207,
Brabham-Climax,52.31182795698925,
LDS-Climax,30.0,
LDS-Alfa Romeo,20.0,
Cooper-Ford,0.0,
McLaren-Ford,60.51724137931034,
McLaren-Serenissima,50.0,
Eagle-Climax,37.69230769230769,
Eagle-Weslake,37.38095238095238,
Brabham-Repco,60.51948051948052,
Cooper-Ferrari,50.0,
Cooper-ATS,30.0,
McLaren-BRM,42.142857142857146,
Cooper-BRM,48.57142857142857,
Matra-Ford,76.75,
BRM-Ford,65.0,
McLaren-Alfa Romeo,19.545454545454547,
March-Alfa Romeo,29.0,
March-Ford,38.25581395348837,
Lotus-Pratt &amp; Whitney,35.0,
Shadow-Ford,36.73076923076923,
Shadow-Matra,15.0,
Brabham-Alfa Romeo,30.25423728813559,
Lotus,17.17105263157895,
Marussia,17.24770642201835,
Caterham,18.214285714285715,
Lotus F1,48.993506493506494,
Manor Marussia,20.705128205128204,
Haas F1 Team,33.94736842105263,
Racing Point,51.8421052631579,
AlphaTauri,43.19277108433735,
Alpine F1 Team,48.91666666666666,
RB F1 Team,38.645833333333336,
